v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65
.20055,.37951,.39641,2.0472,32.351,.38825,.24976,1.3305,1.1389,.5049400000000001,.24976,.6598000000000001,.1666,.24976,497.42,.73378,2.6349,.24976,.14941999,43.369999,1.2479,.21402,.11998,.47706,.5049400000000001,.60411,1.4582,1.7615,5.9443,.11788,.14941999,94.14,3.8772,.56393,.21402,1.741,593.27,.50591,.12804,.66295,.051402,.12804,114.42,71.050003,1.0097,1.5225,49.394,.1853,.11085,2.042,.37854,.25792,2.2437,2.248,348690,.12196,.39718,.87804002,.001924,8.416,5.1372,82.657997,4.4158,7.4277,0
.20912,.49988,.47225,1.9447,14.786,0,.25834,.99601,1.6996,.49788,.26114,.5168,.15835001,.25834,677.96,.53838,2.0005,.25834,.152,87.981003,1.4293,.24806,.12304,,.39542,.43992,88.444,16.946,3.6884,.26969001,.152,122.17,2.9876,2.9876,.20616,1.6996,,.49788,.1213,.086422,.064371,.14595,199.49001,111.51,.51045,1.1252,100.13,.23727,.13961001,1.9447,.49988,.33472,17.866,17.866,2304.6001,.1213,.42002,.85299999,0,4.1486,3.2732,107.35,3.4,60.987,0
.24866,.69592,.26713,1.5548,-1.1523,0,.30906,.43695,1.309,.30408,.31258,.64184,.24435,.30906,794.16,.45961,1.4369,.30906,.2361,73.133003,1.4283,.3026,.18996,,.28932,.37282,86.011,1.0627,4.3749,.41929001,.23815,176.93,2.063,1.4274,.31565,1.309,2.3019,.51537,.24113999,.32202,.07402,.23117,165.50999,92.380997,.94807,1.0101,96.372,.29181,.22293,1.0758,.48152,.48474,1.2098,2.0504,6332.7002,.24113999,.81774,.76599002,.69484,4.9909,3.951,134.27,2.7185,5.2078,0
.081483,.30734,.45879,2.4928,51.952,.14988,.092704,1.8661,1.0571,.57353,.092704,.30163,.094256997,.092704,917.01,.39803,3.2537,.092704,.071428001,79.788002,1.5069,.1155,.062781997,.17193,.57353,.36152,.94076,1.9618,4.6511,.14342999,.071428001,91.37,3.9948,.37581,.1155,1.3562,,.57353,.088995002,.40139,.069622,.088995002,180.77,100.98,.2872,1.5696,84.34399999999999,.085874,.066165,2.4928,.30734,.25033,2.4524,2.4524,20545,.054014999,.14207,.94598001,0,4.5746,3.6147,86.434998,4.2228,5.5497,0
.18732,.6132300000000001,.2296,1.4063,-7.3128,.18732,.18732,.6307,1.1559,.38677,.18732,.33147,.12182,.18732,1133.2,.32211,1.6307,.18732,.11553,57.044998,,.19832,.11553,.18732,.38677,.32211,1.4138,1.1184,4.1424,.27884001,.11553,147.04,2.4823,.3234,.19832,1.6278,11.247,.43489,.12231,.29304,.09668,.12231,141.62,84.573997,.73919,.95787,65.93600000000001,.18811,.11601,1.2959,.56511,.40285,1.8839,2.1184,3186.6001,.13485,.48431,.86514997,.12444,6.3985,4.3158,127.21,2.8692,7.898,0
.22822,.49794,.35969,1.7502,-47.717,0,.28139,1.0083,1.9786,.50206,.28645,.58691,.14812,.28139,620.14,.58858,2.0083,.28139,.14222001,107.26,1.7278,.28104,.11535,,.4997,.48181,55.511,2.2359,4.3258,.23382001,.14449,102.76,3.5519,3.42,.27566,1.9786,22.312,.51361,.13932,.078634,.056701,.14204,147.84,40.577999,.3925,.53744,124.63,.26935,.13613001,1.6852,.47944,.28154,3.1209,3.1927,7616.7998,.13932,.45457,.85891002,.023002,3.4028,8.994899999999999,88.444,4.1269,12.299,0
.11109,.64744,.28971,1.4705,2.5349,0,.11109,.54454,1.7348,.35256,.12575,.18041,.30963001,.11109,439.94,.82965,1.5445,.11109,.064035997,57.733002,.56811,0,.064035997,,.31469,.82965,0,3.0648,3.677,.36087999,.14223,328.73,1.1103,1.056,.024982,1.7348,,.35256,.0144,.056647,.050653,0,183.17,125.44,.40485,1.0249,146.49,-.42606,-.2456,1.3985,.61576,.90064,3.7297,3.7297,1377.1,.60589999,.3151,.40871,0,6.3222,2.9098,129.55,2.8173,18.352,0
.53232,.027059,.7055399999999999,53.954,299.58,0,.6524,35.957,.65273,.97294,.69394,48.966,1.0602,.6524,14.272,25.575,36.957,.6524,.99949002,39.978001,,.6712900000000001,.81553,,.9698,21.137,16.158,2.5096,4.2428,-.67624998,1.0003,8.1579,44.742,22.031,.056612,.65273,50.43,.98578,.086730003,47.991,.001269,1.0283999,44.425999,4.4485002,7.4458,48.588,43.774,.63166,.96771997,26.567,.013323,.02235,3.4607,3.5064,12341,.086730003,.54713,.49520999,.013194,9.130000000000001,82.05,7.4503002,48.991,2.3217,0
.00902,.63202,.053735,1.1263,-37.842,0,.014434,.58223,1.3332,.36798,.043162,.033921,.038938001,.014434,4443.7,.082138,1.5822,.014434,.010827,36.623001,1.0752,.030778,.0067659998,.000222,.34828,.073572,1.0714,.10319,5.9479,.47404999,.010827,142.09,2.6284,1.7697,.24013,1.3332,2.7538,.49344,.18010999,.072677,.30865,.023085,122.74,86.122002,.06743,.81192,43.654,-.006701,-.0050260001,.75832,.42554,.38046,.70666,.9476,1.1263,.18010999,.024512,.84165001,.34094,9.9665,4.2382,116.5,3.133,2.5603,0
.12408,.8383699999999999,.14204,1.1694,-91.883,0,.15328,.19279,2.1156,.16163,.18454,.18284,.075410999,.15328,1918.1,.1903,1.1928,.15328,.072451003,109.97,1.5866,.15819,.058651,,.15445,.15547,5.0592,7.2291,3.843,.38802999,.077400997,157.15,2.3226,2.3224,.16854,2.1156,,.16163,.079664998,.020833,.16994,.074772,166.13,56.159,.19467,.40912,119.49,.15192,.071811996,1.1694,.83831,.43056,8.226000000000001,8.226000000000001,989.40997,.079664998,.76768,.92847002,0,3.3192,6.4994,144.63,2.5236,107.67,0
